experiment,n_ants,n_iterations,alpha,beta,rho,best_fitness,best_macro_f1,n_features_selected,runtime_seconds
lower_beta,20,30,1.0,1.0,0.2,0.2992,0.2571,41,148.7
faster_evaporation,20,30,1.0,2.0,0.4,0.2921,0.2092,29,83.5
more_ants,40,30,1.0,2.0,0.2,0.2909,0.2305,36,271.3
baseline,20,30,1.0,2.0,0.2,0.2854,0.2399,41,109.5
more_iterations,20,60,1.0,2.0,0.2,0.2854,0.2399,41,216.4
higher_alpha,20,30,2.0,2.0,0.2,0.2833,0.2178,35,127.4
slower_evaporation,20,30,1.0,2.0,0.1,0.2833,0.2178,35,135.3
